"","target","Tm1","Tm2","Tm3","Tm4","Tm5"
"2004-03-13 11:00:00",1542,1447,1408,1336,1112,1100
"2004-03-13 12:00:00",1451,1542,1447,1408,1336,1112
"2004-03-13 13:00:00",1328,1451,1542,1447,1408,1336
"2004-03-13 14:00:00",1207,1328,1451,1542,1447,1408
"2004-03-13 15:00:00",1240,1207,1328,1451,1542,1447
"2004-03-13 16:00:00",1306,1240,1207,1328,1451,1542
"2004-03-13 17:00:00",1326,1306,1240,1207,1328,1451
"2004-03-13 18:00:00",1473,1326,1306,1240,1207,1328
"2004-03-13 19:00:00",1609,1473,1326,1306,1240,1207
"2004-03-13 20:00:00",1611,1609,1473,1326,1306,1240
"2004-03-13 21:00:00",1621,1611,1609,1473,1326,1306
"2004-03-13 22:00:00",1444,1621,1611,1609,1473,1326
"2004-03-13 23:00:00",1418,1444,1621,1611,1609,1473
"2004-03-14 00:00:00",1534,1418,1444,1621,1611,1609
"2004-03-14 01:00:00",1484,1534,1418,1444,1621,1611
"2004-03-14 02:00:00",1367,1484,1534,1418,1444,1621
"2004-03-14 03:00:00",1344,1367,1484,1534,1418,1444
"2004-03-14 04:00:00",1130,1344,1367,1484,1534,1418
"2004-03-14 05:00:00",1062,1130,1344,1367,1484,1534
"2004-03-14 06:00:00",1076,1062,1130,1344,1367,1484
"2004-03-14 07:00:00",1028,1076,1062,1130,1344,1367
"2004-03-14 08:00:00",1155,1028,1076,1062,1130,1344
"2004-03-14 09:00:00",1235,1155,1028,1076,1062,1130
"2004-03-14 10:00:00",1332,1235,1155,1028,1076,1062
"2004-03-14 11:00:00",1445,1332,1235,1155,1028,1076
"2004-03-14 12:00:00",1416,1445,1332,1235,1155,1028
"2004-03-14 13:00:00",1281,1416,1445,1332,1235,1155
"2004-03-14 14:00:00",1207,1281,1416,1445,1332,1235
"2004-03-14 15:00:00",1258,1207,1281,1416,1445,1332
"2004-03-14 16:00:00",1458,1258,1207,1281,1416,1445
"2004-03-14 17:00:00",1438,1458,1258,1207,1281,1416
"2004-03-14 18:00:00",1478,1438,1458,1258,1207,1281
"2004-03-14 19:00:00",1808,1478,1438,1458,1258,1207
"2004-03-14 20:00:00",1898,1808,1478,1438,1458,1258
"2004-03-14 21:00:00",1560,1898,1808,1478,1438,1458
"2004-03-14 22:00:00",1324,1560,1898,1808,1478,1438
"2004-03-14 23:00:00",1349,1324,1560,1898,1808,1478
"2004-03-15 00:00:00",1239,1349,1324,1560,1898,1808
"2004-03-15 01:00:00",1239,1239,1349,1324,1560,1898
"2004-03-15 02:00:00",1224,1239,1239,1349,1324,1560
"2004-03-15 03:00:00",1078,1224,1239,1239,1349,1324
"2004-03-15 04:00:00",1078,1078,1224,1239,1239,1349
"2004-03-15 05:00:00",1075,1078,1078,1224,1239,1239
"2004-03-15 06:00:00",1157,1075,1078,1078,1224,1239
"2004-03-15 07:00:00",1314,1157,1075,1078,1078,1224
"2004-03-15 08:00:00",1797,1314,1157,1075,1078,1078
"2004-03-15 09:00:00",1961,1797,1314,1157,1075,1078
"2004-03-15 10:00:00",1771,1961,1797,1314,1157,1075
"2004-03-15 11:00:00",1564,1771,1961,1797,1314,1157
"2004-03-15 12:00:00",1430,1564,1771,1961,1797,1314
"2004-03-15 13:00:00",1417,1430,1564,1771,1961,1797
"2004-03-15 14:00:00",1400,1417,1430,1564,1771,1961
"2004-03-15 15:00:00",1317,1400,1417,1430,1564,1771
"2004-03-15 16:00:00",1318,1317,1400,1417,1430,1564
"2004-03-15 17:00:00",1445,1318,1317,1400,1417,1430
"2004-03-15 18:00:00",1917,1445,1318,1317,1400,1417
"2004-03-15 19:00:00",2040,1917,1445,1318,1317,1400
"2004-03-15 20:00:00",1895,2040,1917,1445,1318,1317
"2004-03-15 21:00:00",1595,1895,2040,1917,1445,1318
"2004-03-15 22:00:00",1439,1595,1895,2040,1917,1445
"2004-03-15 23:00:00",1142,1439,1595,1895,2040,1917
"2004-03-16 00:00:00",1304,1142,1439,1595,1895,2040
"2004-03-16 01:00:00",1074,1304,1142,1439,1595,1895
"2004-03-16 02:00:00",968,1074,1304,1142,1439,1595
"2004-03-16 03:00:00",929,968,1074,1304,1142,1439
"2004-03-16 04:00:00",941,929,968,1074,1304,1142
"2004-03-16 05:00:00",937,941,929,968,1074,1304
"2004-03-16 06:00:00",1017,937,941,929,968,1074
"2004-03-16 07:00:00",1171,1017,937,941,929,968
"2004-03-16 08:00:00",1541,1171,1017,937,941,929
"2004-03-16 09:00:00",1539,1541,1171,1017,937,941
"2004-03-16 10:00:00",1735,1539,1541,1171,1017,937
"2004-03-16 11:00:00",1571,1735,1539,1541,1171,1017
"2004-03-16 12:00:00",1452,1571,1735,1539,1541,1171
"2004-03-16 13:00:00",1579,1452,1571,1735,1539,1541
"2004-03-16 14:00:00",1466,1579,1452,1571,1735,1539
"2004-03-16 15:00:00",1280,1466,1579,1452,1571,1735
"2004-03-16 16:00:00",1407,1280,1466,1579,1452,1571
"2004-03-16 17:00:00",1389,1407,1280,1466,1579,1452
"2004-03-16 18:00:00",1447,1389,1407,1280,1466,1579
"2004-03-16 19:00:00",1551,1447,1389,1407,1280,1466
"2004-03-16 20:00:00",1474,1551,1447,1389,1407,1280
"2004-03-16 21:00:00",1800,1474,1551,1447,1389,1407
"2004-03-16 22:00:00",1379,1800,1474,1551,1447,1389
"2004-03-16 23:00:00",1201,1379,1800,1474,1551,1447
"2004-03-17 00:00:00",1205,1201,1379,1800,1474,1551
"2004-03-17 01:00:00",1072,1205,1201,1379,1800,1474
"2004-03-17 02:00:00",998,1072,1205,1201,1379,1800
"2004-03-17 03:00:00",933,998,1072,1205,1201,1379
"2004-03-17 04:00:00",883,933,998,1072,1205,1201
"2004-03-17 05:00:00",869,883,933,998,1072,1205
"2004-03-17 06:00:00",891,869,883,933,998,1072
"2004-03-17 07:00:00",1173,891,869,883,933,998
"2004-03-17 08:00:00",1587,1173,891,869,883,933
"2004-03-17 09:00:00",1852,1587,1173,891,869,883
"2004-03-17 10:00:00",1522,1852,1587,1173,891,869
"2004-03-17 11:00:00",1438,1522,1852,1587,1173,891
"2004-03-17 12:00:00",1393,1438,1522,1852,1587,1173
"2004-03-17 13:00:00",1452,1393,1438,1522,1852,1587
"2004-03-17 14:00:00",1389,1452,1393,1438,1522,1852
"2004-03-17 15:00:00",1207,1389,1452,1393,1438,1522
"2004-03-17 16:00:00",1365,1207,1389,1452,1393,1438
"2004-03-17 17:00:00",1247,1365,1207,1389,1452,1393
"2004-03-17 18:00:00",1557,1247,1365,1207,1389,1452
"2004-03-17 19:00:00",1973,1557,1247,1365,1207,1389
"2004-03-17 20:00:00",1975,1973,1557,1247,1365,1207
"2004-03-17 21:00:00",1795,1975,1973,1557,1247,1365
"2004-03-17 22:00:00",1444,1795,1975,1973,1557,1247
"2004-03-17 23:00:00",1488,1444,1795,1975,1973,1557
"2004-03-18 00:00:00",1371,1488,1444,1795,1975,1973
"2004-03-18 01:00:00",1161,1371,1488,1444,1795,1975
"2004-03-18 02:00:00",1064,1161,1371,1488,1444,1795
"2004-03-18 03:00:00",970,1064,1161,1371,1488,1444
"2004-03-18 04:00:00",954,970,1064,1161,1371,1488
"2004-03-18 05:00:00",931,954,970,1064,1161,1371
"2004-03-18 06:00:00",938,931,954,970,1064,1161
"2004-03-18 07:00:00",1166,938,931,954,970,1064
"2004-03-18 08:00:00",1643,1166,938,931,954,970
"2004-03-18 09:00:00",1934,1643,1166,938,931,954
"2004-03-18 10:00:00",1617,1934,1643,1166,938,931
"2004-03-18 11:00:00",1473,1617,1934,1643,1166,938
"2004-03-18 12:00:00",1379,1473,1617,1934,1643,1166
"2004-03-18 13:00:00",1385,1379,1473,1617,1934,1643
"2004-03-18 14:00:00",1379,1385,1379,1473,1617,1934
"2004-03-18 15:00:00",1322,1379,1385,1379,1473,1617
"2004-03-18 16:00:00",1496,1322,1379,1385,1379,1473
"2004-03-18 17:00:00",1409,1496,1322,1379,1385,1379
"2004-03-18 18:00:00",1513,1409,1496,1322,1379,1385
"2004-03-18 19:00:00",1667,1513,1409,1496,1322,1379
"2004-03-18 20:00:00",1667,1667,1513,1409,1496,1322
"2004-03-18 21:00:00",1430,1667,1667,1513,1409,1496
"2004-03-18 22:00:00",1333,1430,1667,1667,1513,1409
"2004-03-18 23:00:00",1262,1333,1430,1667,1667,1513
"2004-03-19 00:00:00",1287,1262,1333,1430,1667,1667
"2004-03-19 01:00:00",1134,1287,1262,1333,1430,1667
"2004-03-19 02:00:00",999,1134,1287,1262,1333,1430
"2004-03-19 03:00:00",961,999,1134,1287,1262,1333
"2004-03-19 04:00:00",934,961,999,1134,1287,1262
"2004-03-19 05:00:00",913,934,961,999,1134,1287
"2004-03-19 06:00:00",969,913,934,961,999,1134
"2004-03-19 07:00:00",1182,969,913,934,961,999
"2004-03-19 08:00:00",1740,1182,969,913,934,961
"2004-03-19 09:00:00",1819,1740,1182,969,913,934
"2004-03-19 10:00:00",1427,1819,1740,1182,969,913
"2004-03-19 11:00:00",1390,1427,1819,1740,1182,969
"2004-03-19 12:00:00",1283,1390,1427,1819,1740,1182
"2004-03-19 13:00:00",1304,1283,1390,1427,1819,1740
"2004-03-19 14:00:00",1364,1304,1283,1390,1427,1819
"2004-03-19 15:00:00",1410,1364,1304,1283,1390,1427
"2004-03-19 16:00:00",1476,1410,1364,1304,1283,1390
"2004-03-19 17:00:00",1522,1476,1410,1364,1304,1283
"2004-03-19 18:00:00",1442,1522,1476,1410,1364,1304
"2004-03-19 19:00:00",1469,1442,1522,1476,1410,1364
"2004-03-19 20:00:00",1467,1469,1442,1522,1476,1410
"2004-03-19 21:00:00",1421,1467,1469,1442,1522,1476
"2004-03-19 22:00:00",1175,1421,1467,1469,1442,1522
"2004-03-19 23:00:00",1215,1175,1421,1467,1469,1442
"2004-03-20 00:00:00",1127,1215,1175,1421,1467,1469
"2004-03-20 01:00:00",1090,1127,1215,1175,1421,1467
"2004-03-20 02:00:00",1017,1090,1127,1215,1175,1421
"2004-03-20 03:00:00",997,1017,1090,1127,1215,1175
"2004-03-20 04:00:00",945,997,1017,1090,1127,1215
"2004-03-20 05:00:00",956,945,997,1017,1090,1127
"2004-03-20 06:00:00",966,956,945,997,1017,1090
"2004-03-20 07:00:00",1064,966,956,945,997,1017
"2004-03-20 08:00:00",1300,1064,966,956,945,997
"2004-03-20 09:00:00",1348,1300,1064,966,956,945
"2004-03-20 10:00:00",1425,1348,1300,1064,966,956
"2004-03-20 11:00:00",1474,1425,1348,1300,1064,966
"2004-03-20 12:00:00",1490,1474,1425,1348,1300,1064
"2004-03-20 13:00:00",1495,1490,1474,1425,1348,1300
"2004-03-20 14:00:00",1376,1495,1490,1474,1425,1348
"2004-03-20 15:00:00",1305,1376,1495,1490,1474,1425
"2004-03-20 16:00:00",1283,1305,1376,1495,1490,1474
"2004-03-20 17:00:00",1392,1283,1305,1376,1495,1490
"2004-03-20 18:00:00",1452,1392,1283,1305,1376,1495
"2004-03-20 19:00:00",1633,1452,1392,1283,1305,1376
"2004-03-20 20:00:00",1625,1633,1452,1392,1283,1305
"2004-03-20 21:00:00",1535,1625,1633,1452,1392,1283
"2004-03-20 22:00:00",1323,1535,1625,1633,1452,1392
"2004-03-20 23:00:00",1309,1323,1535,1625,1633,1452
"2004-03-21 00:00:00",1456,1309,1323,1535,1625,1633
"2004-03-21 01:00:00",1300,1456,1309,1323,1535,1625
"2004-03-21 02:00:00",1203,1300,1456,1309,1323,1535
"2004-03-21 03:00:00",1195,1203,1300,1456,1309,1323
"2004-03-21 04:00:00",1117,1195,1203,1300,1456,1309
"2004-03-21 05:00:00",1062,1117,1195,1203,1300,1456
"2004-03-21 06:00:00",947,1062,1117,1195,1203,1300
"2004-03-21 07:00:00",1065,947,1062,1117,1195,1203
"2004-03-21 08:00:00",1155,1065,947,1062,1117,1195
"2004-03-21 09:00:00",1220,1155,1065,947,1062,1117
"2004-03-21 10:00:00",1301,1220,1155,1065,947,1062
"2004-03-21 11:00:00",1279,1301,1220,1155,1065,947
"2004-03-21 12:00:00",1267,1279,1301,1220,1155,1065
"2004-03-21 13:00:00",1239,1267,1279,1301,1220,1155
"2004-03-21 14:00:00",1128,1239,1267,1279,1301,1220
"2004-03-21 15:00:00",1243,1128,1239,1267,1279,1301
"2004-03-21 16:00:00",1208,1243,1128,1239,1267,1279
"2004-03-21 17:00:00",1306,1208,1243,1128,1239,1267
"2004-03-21 18:00:00",1546,1306,1208,1243,1128,1239
"2004-03-21 19:00:00",1501,1546,1306,1208,1243,1128
"2004-03-21 20:00:00",1605,1501,1546,1306,1208,1243
"2004-03-21 21:00:00",1316,1605,1501,1546,1306,1208
"2004-03-21 22:00:00",1195,1316,1605,1501,1546,1306
"2004-03-21 23:00:00",1211,1195,1316,1605,1501,1546
"2004-03-22 00:00:00",1161,1211,1195,1316,1605,1501
"2004-03-22 01:00:00",1095,1161,1211,1195,1316,1605
"2004-03-22 02:00:00",897,1095,1161,1211,1195,1316
"2004-03-22 03:00:00",842,897,1095,1161,1211,1195
"2004-03-22 04:00:00",854,842,897,1095,1161,1211
"2004-03-22 05:00:00",845,854,842,897,1095,1161
"2004-03-22 06:00:00",942,845,854,842,897,1095
"2004-03-22 07:00:00",1090,942,845,854,842,897
"2004-03-22 08:00:00",1514,1090,942,845,854,842
"2004-03-22 09:00:00",1379,1514,1090,942,845,854
"2004-03-22 10:00:00",1074,1379,1514,1090,942,845
"2004-03-22 11:00:00",1090,1074,1379,1514,1090,942
"2004-03-22 12:00:00",1110,1090,1074,1379,1514,1090
"2004-03-22 13:00:00",1102,1110,1090,1074,1379,1514
"2004-03-22 14:00:00",1100,1102,1110,1090,1074,1379
"2004-03-22 15:00:00",1094,1100,1102,1110,1090,1074
"2004-03-22 16:00:00",1076,1094,1100,1102,1110,1090
"2004-03-22 17:00:00",1152,1076,1094,1100,1102,1110
"2004-03-22 18:00:00",1407,1152,1076,1094,1100,1102
"2004-03-22 19:00:00",1438,1407,1152,1076,1094,1100
"2004-03-22 20:00:00",1425,1438,1407,1152,1076,1094
"2004-03-22 21:00:00",1279,1425,1438,1407,1152,1076
"2004-03-22 22:00:00",1132,1279,1425,1438,1407,1152
"2004-03-22 23:00:00",1006,1132,1279,1425,1438,1407
"2004-03-23 00:00:00",982,1006,1132,1279,1425,1438
"2004-03-23 01:00:00",969,982,1006,1132,1279,1425
"2004-03-23 02:00:00",941,969,982,1006,1132,1279
"2004-03-23 03:00:00",892,941,969,982,1006,1132
"2004-03-23 04:00:00",855,892,941,969,982,1006
"2004-03-23 05:00:00",834,855,892,941,969,982
"2004-03-23 06:00:00",909,834,855,892,941,969
"2004-03-23 07:00:00",1061,909,834,855,892,941
"2004-03-23 08:00:00",1441,1061,909,834,855,892
"2004-03-23 09:00:00",1498,1441,1061,909,834,855
"2004-03-23 10:00:00",1343,1498,1441,1061,909,834
"2004-03-23 11:00:00",1308,1343,1498,1441,1061,909
"2004-03-23 12:00:00",1209,1308,1343,1498,1441,1061
"2004-03-23 13:00:00",1310,1209,1308,1343,1498,1441
"2004-03-23 14:00:00",1171,1310,1209,1308,1343,1498
"2004-03-23 15:00:00",1112,1171,1310,1209,1308,1343
"2004-03-23 16:00:00",1132,1112,1171,1310,1209,1308
"2004-03-23 17:00:00",1225,1132,1112,1171,1310,1209
"2004-03-23 18:00:00",1065,1225,1132,1112,1171,1310
"2004-03-23 19:00:00",1236,1065,1225,1132,1112,1171
"2004-03-23 20:00:00",1309,1236,1065,1225,1132,1112
"2004-03-23 21:00:00",1089,1309,1236,1065,1225,1132
"2004-03-23 22:00:00",1000,1089,1309,1236,1065,1225
"2004-03-23 23:00:00",1041,1000,1089,1309,1236,1065
"2004-03-24 00:00:00",1045,1041,1000,1089,1309,1236
"2004-03-24 01:00:00",997,1045,1041,1000,1089,1309
"2004-03-24 02:00:00",948,997,1045,1041,1000,1089
"2004-03-24 03:00:00",878,948,997,1045,1041,1000
"2004-03-24 04:00:00",908,878,948,997,1045,1041
"2004-03-24 05:00:00",892,908,878,948,997,1045
"2004-03-24 06:00:00",954,892,908,878,948,997
"2004-03-24 07:00:00",1045,954,892,908,878,948
"2004-03-24 08:00:00",1383,1045,954,892,908,878
"2004-03-24 09:00:00",1597,1383,1045,954,892,908
"2004-03-24 10:00:00",1318,1597,1383,1045,954,892
"2004-03-24 11:00:00",1138,1318,1597,1383,1045,954
"2004-03-24 12:00:00",1098,1138,1318,1597,1383,1045
"2004-03-24 13:00:00",1118,1098,1138,1318,1597,1383
"2004-03-24 14:00:00",1170,1118,1098,1138,1318,1597
"2004-03-24 15:00:00",1112,1170,1118,1098,1138,1318
"2004-03-24 16:00:00",1390,1112,1170,1118,1098,1138
"2004-03-24 17:00:00",1353,1390,1112,1170,1118,1098
"2004-03-24 18:00:00",1260,1353,1390,1112,1170,1118
"2004-03-24 19:00:00",1501,1260,1353,1390,1112,1170
"2004-03-24 20:00:00",1273,1501,1260,1353,1390,1112
"2004-03-24 21:00:00",1179,1273,1501,1260,1353,1390
"2004-03-24 22:00:00",1047,1179,1273,1501,1260,1353
"2004-03-24 23:00:00",973,1047,1179,1273,1501,1260
"2004-03-25 00:00:00",997,973,1047,1179,1273,1501
"2004-03-25 01:00:00",970,997,973,1047,1179,1273
"2004-03-25 02:00:00",902,970,997,973,1047,1179
"2004-03-25 03:00:00",921,902,970,997,973,1047
"2004-03-25 04:00:00",858,921,902,970,997,973
"2004-03-25 05:00:00",878,858,921,902,970,997
"2004-03-25 06:00:00",893,878,858,921,902,970
"2004-03-25 07:00:00",1038,893,878,858,921,902
"2004-03-25 08:00:00",1320,1038,893,878,858,921
"2004-03-25 09:00:00",1353,1320,1038,893,878,858
"2004-03-25 10:00:00",1133,1353,1320,1038,893,878
"2004-03-25 11:00:00",1066,1133,1353,1320,1038,893
"2004-03-25 12:00:00",1027,1066,1133,1353,1320,1038
"2004-03-25 13:00:00",1106,1027,1066,1133,1353,1320
"2004-03-25 14:00:00",1038,1106,1027,1066,1133,1353
"2004-03-25 15:00:00",1084,1038,1106,1027,1066,1133
"2004-03-25 16:00:00",1105,1084,1038,1106,1027,1066
"2004-03-25 17:00:00",1102,1105,1084,1038,1106,1027
"2004-03-25 18:00:00",1240,1102,1105,1084,1038,1106
"2004-03-25 19:00:00",1443,1240,1102,1105,1084,1038
"2004-03-25 20:00:00",1389,1443,1240,1102,1105,1084
"2004-03-25 21:00:00",1183,1389,1443,1240,1102,1105
"2004-03-25 22:00:00",1014,1183,1389,1443,1240,1102
"2004-03-25 23:00:00",979,1014,1183,1389,1443,1240
"2004-03-26 00:00:00",1048,979,1014,1183,1389,1443
"2004-03-26 01:00:00",1024,1048,979,1014,1183,1389
"2004-03-26 02:00:00",974,1024,1048,979,1014,1183
"2004-03-26 03:00:00",862,974,1024,1048,979,1014
"2004-03-26 04:00:00",925,862,974,1024,1048,979
"2004-03-26 05:00:00",952,925,862,974,1024,1048
"2004-03-26 06:00:00",1005,952,925,862,974,1024
"2004-03-26 07:00:00",1122,1005,952,925,862,974
"2004-03-26 08:00:00",1351,1122,1005,952,925,862
"2004-03-26 09:00:00",1408,1351,1122,1005,952,925
"2004-03-26 10:00:00",1304,1408,1351,1122,1005,952
"2004-03-26 11:00:00",1207,1304,1408,1351,1122,1005
"2004-03-26 12:00:00",1099,1207,1304,1408,1351,1122
"2004-03-26 13:00:00",1106,1099,1207,1304,1408,1351
"2004-03-26 14:00:00",1009,1106,1099,1207,1304,1408
"2004-03-26 15:00:00",962,1009,1106,1099,1207,1304
"2004-03-26 16:00:00",1093,962,1009,1106,1099,1207
"2004-03-26 17:00:00",1180,1093,962,1009,1106,1099
"2004-03-26 18:00:00",1168,1180,1093,962,1009,1106
"2004-03-26 19:00:00",1168,1168,1180,1093,962,1009
"2004-03-26 20:00:00",1140,1168,1168,1180,1093,962
"2004-03-26 21:00:00",1001,1140,1168,1168,1180,1093
"2004-03-26 22:00:00",953,1001,1140,1168,1168,1180
"2004-03-26 23:00:00",972,953,1001,1140,1168,1168
"2004-03-27 00:00:00",1021,972,953,1001,1140,1168
"2004-03-27 01:00:00",940,1021,972,953,1001,1140
"2004-03-27 02:00:00",1046,940,1021,972,953,1001
"2004-03-27 03:00:00",1026,1046,940,1021,972,953
"2004-03-27 04:00:00",983,1026,1046,940,1021,972
"2004-03-27 05:00:00",915,983,1026,1046,940,1021
"2004-03-27 06:00:00",935,915,983,1026,1046,940
"2004-03-27 07:00:00",976,935,915,983,1026,1046
"2004-03-27 08:00:00",1124,976,935,915,983,1026
"2004-03-27 09:00:00",1163,1124,976,935,915,983
"2004-03-27 10:00:00",1167,1163,1124,976,935,915
"2004-03-27 11:00:00",1121,1167,1163,1124,976,935
"2004-03-27 12:00:00",1071,1121,1167,1163,1124,976
"2004-03-27 13:00:00",1065,1071,1121,1167,1163,1124
"2004-03-27 14:00:00",1157,1065,1071,1121,1167,1163
"2004-03-27 15:00:00",1046,1157,1065,1071,1121,1167
"2004-03-27 16:00:00",1147,1046,1157,1065,1071,1121
"2004-03-27 17:00:00",1119,1147,1046,1157,1065,1071
"2004-03-27 18:00:00",1210,1119,1147,1046,1157,1065
"2004-03-27 19:00:00",1306,1210,1119,1147,1046,1157
"2004-03-27 20:00:00",1258,1306,1210,1119,1147,1046
"2004-03-27 21:00:00",1148,1258,1306,1210,1119,1147
"2004-03-27 22:00:00",1108,1148,1258,1306,1210,1119
"2004-03-27 23:00:00",1231,1108,1148,1258,1306,1210
"2004-03-28 00:00:00",1293,1231,1108,1148,1258,1306
"2004-03-28 01:00:00",1274,1293,1231,1108,1148,1258
"2004-03-28 02:00:00",1135,1274,1293,1231,1108,1148
"2004-03-28 03:00:00",1151,1135,1274,1293,1231,1108
"2004-03-28 04:00:00",1010,1151,1135,1274,1293,1231
"2004-03-28 05:00:00",870,1010,1151,1135,1274,1293
"2004-03-28 06:00:00",983,870,1010,1151,1135,1274
"2004-03-28 07:00:00",995,983,870,1010,1151,1135
"2004-03-28 08:00:00",1024,995,983,870,1010,1151
"2004-03-28 09:00:00",1163,1024,995,983,870,1010
"2004-03-28 10:00:00",1218,1163,1024,995,983,870
"2004-03-28 11:00:00",1210,1218,1163,1024,995,983
"2004-03-28 12:00:00",1114,1210,1218,1163,1024,995
"2004-03-28 13:00:00",995,1114,1210,1218,1163,1024
"2004-03-28 14:00:00",927,995,1114,1210,1218,1163
"2004-03-28 15:00:00",1002,927,995,1114,1210,1218
"2004-03-28 16:00:00",987,1002,927,995,1114,1210
"2004-03-28 17:00:00",993,987,1002,927,995,1114
"2004-03-28 18:00:00",1012,993,987,1002,927,995
"2004-03-28 19:00:00",1114,1012,993,987,1002,927
"2004-03-28 20:00:00",1093,1114,1012,993,987,1002
"2004-03-28 21:00:00",968,1093,1114,1012,993,987
"2004-03-28 22:00:00",960,968,1093,1114,1012,993
"2004-03-28 23:00:00",942,960,968,1093,1114,1012
"2004-03-29 00:00:00",888,942,960,968,1093,1114
"2004-03-29 01:00:00",818,888,942,960,968,1093
"2004-03-29 02:00:00",840,818,888,942,960,968
"2004-03-29 03:00:00",894,840,818,888,942,960
"2004-03-29 04:00:00",864,894,840,818,888,942
"2004-03-29 05:00:00",898,864,894,840,818,888
"2004-03-29 06:00:00",946,898,864,894,840,818
"2004-03-29 07:00:00",1309,946,898,864,894,840
"2004-03-29 08:00:00",1326,1309,946,898,864,894
"2004-03-29 09:00:00",966,1326,1309,946,898,864
"2004-03-29 10:00:00",975,966,1326,1309,946,898
"2004-03-29 11:00:00",988,975,966,1326,1309,946
"2004-03-29 12:00:00",971,988,975,966,1326,1309
"2004-03-29 13:00:00",1010,971,988,975,966,1326
"2004-03-29 14:00:00",984,1010,971,988,975,966
"2004-03-29 15:00:00",962,984,1010,971,988,975
"2004-03-29 16:00:00",1012,962,984,1010,971,988
"2004-03-29 17:00:00",1058,1012,962,984,1010,971
"2004-03-29 18:00:00",1173,1058,1012,962,984,1010
"2004-03-29 19:00:00",1127,1173,1058,1012,962,984
